timestamp,Model,Data,Seed,cen_feats,lr,hidden_dim,gconv_nlayers,loss,pre_1,rec_1,f1_1,pre_0,rec_0,f1_0,F1Mi,F1Ma,auroc,auprc,input_dim,ari_score,sil_score
2025-07-31 13:45:15,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,2,BootstrapLatent,0.0769230769230769,0.631578947368421,0.1371428571428571,0.993688007213706,0.884430176565008,0.9358811040339702,0.8806324110671937,0.5365119805884137,0.8226957844048324,0.2817398762046125,,,
2025-07-31 13:45:54,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,2,JSD,0.1325301204819277,0.5789473684210527,0.2156862745098039,0.9932318104906938,0.942215088282504,0.9670510708401976,0.9367588932806324,0.5913686726750007,0.8583889499028471,0.265839282837225,,,
2025-07-31 13:46:36,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,2,InfoNCE,0.078125,0.7894736842105263,0.1421800947867298,0.9962721342031688,0.8579454253611557,0.9219491159982752,0.8569169960474308,0.5320646053925024,0.8875770887893892,0.3856109010851987,,,
2025-07-31 13:47:20,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,3,BootstrapLatent,0.1153846153846153,0.75,0.1999999999999999,0.9955947136563876,0.9076305220883534,0.9495798319327732,0.9051383399209486,0.5747899159663865,0.8355020080321286,0.4040369835332167,,,
2025-07-31 13:48:03,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,3,JSD,0.1041666666666666,0.5,0.1724137931034483,0.9914456800684346,0.9309236947791164,0.9602319801159902,0.9241106719367588,0.5663228866097192,0.739437751004016,0.2492718290869658,,,
2025-07-31 13:48:47,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,3,InfoNCE,0.1007194244604316,0.7,0.1761006289308176,0.994671403197158,0.8995983935742972,0.9447490510333192,0.8964426877470356,0.5604248399820684,0.769437751004016,0.3853970495793047,,,
2025-07-31 13:49:32,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,4,BootstrapLatent,0.1262135922330097,0.7222222222222222,0.2148760330578512,0.995697074010327,0.9278267842822776,0.9605645496056456,0.924901185770751,0.5877202913317484,0.7926579345985922,0.1335533927269809,,,
2025-07-31 13:50:17,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,4,JSD,0.1125,0.5,0.183673469387755,0.9924050632911392,0.9430633520449078,0.9671052631578948,0.9367588932806324,0.5753893662728249,0.6473536487570168,0.1245283975541586,,,
2025-07-31 13:51:01,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,128,4,InfoNCE,0.1413043478260869,0.7222222222222222,0.2363636363636363,0.9957374254049446,0.9366479550922212,0.9652892561983472,0.933596837944664,0.6008264462809918,0.8403501737503342,0.1945832723383599,,,
2025-07-31 13:51:52,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,2,BootstrapLatent,0.140495867768595,0.6296296296296297,0.2297297297297297,0.9912587412587412,0.9159935379644588,0.9521410579345088,0.9098814229249012,0.5909353938321193,0.7881290013761741,0.3263205123655271,,,
2025-07-31 13:52:39,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,2,JSD,0.1318681318681318,0.4444444444444444,0.2033898305084746,0.9872231686541738,0.9361873990306948,0.961028192371476,0.9256916996047432,0.5822090114399754,0.8940345838568778,0.2173739011503811,,,
2025-07-31 13:53:25,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,2,InfoNCE,0.1650485436893204,0.6296296296296297,0.2615384615384615,0.991394148020654,0.9305331179321488,0.96,0.9241106719367588,0.6107692307692308,0.794381619098905,0.3406642619700972,,,
2025-07-31 13:54:15,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,3,BootstrapLatent,0.0898203592814371,0.7142857142857143,0.1595744680851063,0.994535519125683,0.8778135048231511,0.932536293766012,0.8750988142292491,0.5460553809255592,0.832529474812433,0.2781733972508298,,,
2025-07-31 13:55:05,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,3,JSD,0.0947368421052631,0.4285714285714285,0.1551724137931034,0.9897435897435898,0.9308681672025724,0.9594034797017398,0.9225296442687748,0.5572879467474217,0.6953376205787781,0.2638568017056891,,,
2025-07-31 13:55:57,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,3,InfoNCE,0.0872093023255814,0.7142857142857143,0.155440414507772,0.9945105215004576,0.8737942122186495,0.9302524604193412,0.8711462450592886,0.5428464374635565,0.9013167968151892,0.3349590175803008,,,
2025-07-31 13:56:53,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,4,BootstrapLatent,0.1172413793103448,0.8095238095238095,0.2048192771084337,0.9964285714285714,0.8971061093247589,0.9441624365482234,0.8956521739130435,0.5744908568283286,0.9300260297044862,0.3332320284649471,,,
2025-07-31 13:57:47,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,4,JSD,0.0786516853932584,0.3333333333333333,0.1272727272727272,0.988095238095238,0.9340836012861736,0.9603305785123968,0.9241106719367588,0.543801652892562,0.6367325065074261,0.1545468077437387,,,
2025-07-31 13:58:42,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,256,4,InfoNCE,0.1078431372549019,0.5238095238095238,0.1788617886178862,0.99140154772141,0.9268488745980707,0.9580390527627752,0.9201581027667984,0.5684504206903307,0.7181901699586586,0.2909555645852028,,,
2025-07-31 13:59:39,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,2,BootstrapLatent,0.1372549019607843,0.5,0.2153846153846154,0.9879621668099742,0.9288601455133388,0.9575,0.9193675889328063,0.5864423076923078,0.6961831620279478,0.2486630299581969,,,
2025-07-31 14:00:33,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,2,JSD,0.1333333333333333,0.4285714285714285,0.2033898305084745,0.9863829787234044,0.936944219886823,0.961028192371476,0.9256916996047432,0.5822090114399753,0.7146610463101974,0.1905130194394708,,,
2025-07-31 14:01:29,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,2,InfoNCE,0.1313131313131313,0.4642857142857143,0.2047244094488189,0.9871355060034306,0.9304769603880356,0.9579692051602164,0.9201581027667984,0.5813468073045177,0.6637313777572468,0.3173489487411694,,,
2025-07-31 14:02:36,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,3,BootstrapLatent,0.0991735537190082,0.8,0.1764705882352941,0.9973776223776224,0.9128,0.953216374269006,0.9114624505928852,0.56484348125215,0.83872,0.1466425446425848,,,
2025-07-31 14:03:42,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,3,JSD,0.0825688073394495,0.6,0.1451612903225806,0.9948096885813148,0.92,0.9559434746467164,0.916205533596838,0.5505523824846486,0.7742666666666667,0.2027099014779341,,,
2025-07-31 14:04:49,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,3,InfoNCE,0.0757575757575757,0.6666666666666666,0.1360544217687074,0.9955869373345102,0.9024,0.946705832983634,0.899604743083004,0.5413801273761708,0.7346400000000001,0.0960850879714589,,,
2025-07-31 14:06:09,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,4,BootstrapLatent,0.1184210526315789,0.9,0.2093023255813953,0.9982030548068284,0.8923694779116466,0.9423240033927056,0.892490118577075,0.5758131644870506,0.951686746987952,0.2566895993976286,,,
2025-07-31 14:07:26,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,4,JSD,0.0979020979020979,0.7,0.1717791411042944,0.9946524064171124,0.8963855421686747,0.9429657794676806,0.893280632411067,0.5573724602859875,0.8809236947791165,0.4003281984567178,,,
2025-07-31 14:08:46,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.01,512,4,InfoNCE,0.1260504201680672,0.75,0.2158273381294964,0.9956369982547992,0.9164658634538152,0.9544123797574235,0.9138339920948616,0.5851198589434601,0.7524497991967871,0.2630998656477418,,,
2025-07-31 14:09:26,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,128,2,BootstrapLatent,0.0972222222222222,0.7368421052631579,0.1717791411042944,0.9955396966993756,0.8956661316211878,0.9429657794676806,0.893280632411067,0.5573724602859875,0.92048238573963,0.4156165104147595,,,
2025-07-31 14:10:07,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,128,2,JSD,0.1494252873563218,0.6842105263157895,0.2452830188679245,0.99490662139219,0.9406099518459068,0.9669966996699668,0.9367588932806324,0.6061398592689458,0.9010095463377544,0.2727712484536218,,,
2025-07-31 14:10:47,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,128,2,InfoNCE,0.112,0.7368421052631579,0.1944444444444444,0.9956140350877192,0.9109149277688604,0.9513830678960604,0.908300395256917,0.5729137561702524,0.9370828757286476,0.3275555608888844,,,
2025-07-31 14:11:29,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,128,3,BootstrapLatent,0.1079136690647482,0.75,0.1886792452830188,0.9955595026642984,0.9004016064257028,0.9455925769717418,0.8980237154150198,0.5671359111273804,0.8565461847389558,0.334301216062754,,,
2025-07-31 14:12:10,MVGRL_node_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,128,3,JSD,0.1234567901234567,0.5,0.198019801980198,0.991554054054054,0.9429718875502008,0.9666529435981884,0.9359683794466404,0.5823363727891933,0.7929317269076305,0.2300447355971279,,,
