dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
amlworld,gcn,2024,0.044123300460533026,0.02296466283922286,0.5610534716679968,0.7021624061570269,0.02109730977618212
amlworld,gcn,2025,0.04540023894862605,0.023783977110157367,0.49812734082397003,0.7039959339933642,0.02376783788086608
amlworld,gcn,2026,0.04403798459731106,0.022970994757268333,0.5312992125984252,0.6936432505763815,0.02151258155383659
amlworld,gcn,2027,0.04484340027234735,0.023344306107815658,0.5673267326732673,0.7109842416866952,0.023441083518798433
amlworld,gat,2024,0.04554609741395786,0.02458456996841621,0.30905826017557864,0.6956853183862686,0.022003415877743217
amlworld,gat,2025,0.04770521898767375,0.02555241827861829,0.35856495170510544,0.7147366795445829,0.023930714065632096
amlworld,gat,2026,0.045860371279302606,0.024829227734394103,0.2998031496062992,0.6853165053312972,0.0220405658644588
amlworld,gat,2027,0.04686521981586225,0.02486144483753728,0.4077227722772277,0.7091089291351708,0.02393184042360736
amlworld,sage,2024,0.050133199835511615,0.027533926432176593,0.2797286512370311,0.6893232925006908,0.02451792736982203
amlworld,sage,2025,0.05161825398392607,0.02868240870786517,0.25763847821801694,0.6644833676113142,0.02432398601509829
amlworld,sage,2026,0.05028992378104372,0.027711908685342228,0.2714566929133858,0.6691163276458993,0.02420302529112151
amlworld,sage,2027,0.04975248554432381,0.027795853862601097,0.23683168316831682,0.6615238021288751,0.023203356323452475
amlworld,mlp,2024,0.04801920768307323,0.02623265781160518,0.2833200319233839,0.6907289549252187,0.02466676171750562
amlworld,mlp,2025,0.04863774332503317,0.02678893204661034,0.2637492607924305,0.7079156391650151,0.024352728575370387
amlworld,mlp,2026,0.04410589676663293,0.024239348933429616,0.24448818897637795,0.6771587640659384,0.02297659160286553
amlworld,mlp,2027,0.04999065944330282,0.0275990099009901,0.26495049504950496,0.7058089141166428,0.024440064855442624
amlworld,lgbm,2024,0.0694638230017939,0.039687962646623394,0.27813248204309654,0.7535725713601069,0.037813668857111425
amlworld,lgbm,2025,0.0685815717282556,0.03970849294590302,0.25133057362507394,0.7472882422737386,0.03670428132247179
amlworld,lgbm,2026,0.07267984553614812,0.0417658642682891,0.2797244094488189,0.753552460809847,0.036600230920913274
amlworld,lgbm,2027,0.07072910381955724,0.040058879192513934,0.3017821782178218,0.7542841552681294,0.03657025890002461
amlworld,xgb,2024,0.07098475967174678,0.04160368283633365,0.24162011173184358,0.7532376467852382,0.03697899476606668
amlworld,xgb,2025,0.07214654767496477,0.04288586106767925,0.22708456534594915,0.7511670299961316,0.03733014815947397
amlworld,xgb,2026,0.076112378367453,0.044597841166717424,0.2594488188976378,0.7569048594060082,0.03789724029597919
amlworld,xgb,2027,0.07183364839319471,0.041320344385855155,0.2746534653465347,0.7514179443726763,0.0366177749372529
