dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
amlnet,bwgnn,2024,0.5311505229649841,0.5898989898989899,0.48304383788254757,0.8257082333471606,0.5309468972787253
amlnet,bwgnn,2025,0.5018670649738611,0.45621181262729127,0.5576763485477179,0.81296015340951,0.4803720310204111
amlnet,bwgnn,2026,0.5199321458863444,0.5164279696714406,0.5234842015371477,0.8271419039153377,0.5237492008321045
amlnet,bwgnn,2027,0.4837705646954202,0.5171102661596958,0.454469507101086,0.8055622307994986,0.46658779381938187
amlnet,gaga,2024,0.47980997624703087,0.40678941311852707,0.5847808105872622,0.7720246615670313,0.4049580003173922
amlnet,gaga,2025,0.4313597918022121,0.3547351524879615,0.5502074688796681,0.7595272058763274,0.3581152435016182
amlnet,gaga,2026,0.4819540648924535,0.42048346055979646,0.5644748078565329,0.7877203251246228,0.43969469037775394
amlnet,gaga,2027,0.5052705551651441,0.43602183141297757,0.6006683375104428,0.8211178566786117,0.4781081768433415
