dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
hofinet,gcn,2024,0.24727761921210029,0.14381171893172062,0.8814152410575428,0.9537846319803834,0.37318752954702883
hofinet,gcn,2025,0.2442659299916397,0.14205386208937557,0.8709175738724728,0.9530959790923105,0.3487872092878119
hofinet,gcn,2026,0.26200339290645835,0.1545209176788124,0.8606791083462935,0.9553998587674579,0.369137988797253
hofinet,gcn,2027,0.24763514134048453,0.1442634879191902,0.8736391912908242,0.9541144113813532,0.36146332773809586
hofinet,gat,2024,0.4963226571767497,0.33604112166689615,0.9489372731985485,0.9846692132834678,0.5386761629846136
hofinet,gat,2025,0.5894828818810073,0.42497995647692133,0.961767755313634,0.9873815567105488,0.54211618887042
hofinet,gat,2026,0.41078544981769877,0.262678474606904,0.9418092275790565,0.9823702904597835,0.544132586549479
hofinet,gat,2027,0.38044213263979193,0.23797748421943124,0.947900466562986,0.9808385849748944,0.4985539497617691
hofinet,sage,2024,0.6777979538509235,0.5148354975442374,0.9917055469155003,0.9912651273730317,0.6161886712496906
hofinet,sage,2025,0.6787953722511701,0.5148024112525117,0.9961119751166407,0.991496535205424,0.607044913818021
hofinet,sage,2026,0.6753852928225451,0.5114712551687342,0.9939087610160705,0.9911893579139239,0.6137968600327005
hofinet,sage,2027,0.6765756626824858,0.5128033696596911,0.9940383618455159,0.9905875387549932,0.6047437217798015
hofinet,mlp,2024,0.679984124884244,0.5153398836976137,0.9992223950233281,0.9910395692468004,0.5985856239448937
hofinet,mlp,2025,0.6801394343202577,0.5156218639191811,0.9988335925349923,0.9914220729513925,0.6175258402013923
hofinet,mlp,2026,0.6760340739439712,0.5112232700225794,0.9976671850699844,0.9909084795341685,0.6033608696531684
hofinet,mlp,2027,0.6770581778265642,0.5119861876618633,0.9992223950233281,0.9912326594476223,0.6198516393756579
hofinet,lgbm,2024,0.6766324981017464,0.5337675950883498,0.923924313115604,0.9922455076022287,0.6598630758301158
hofinet,lgbm,2025,0.6686973490076626,0.5283941331327566,0.9104458268532919,0.991794847738339,0.6575842412441808
hofinet,lgbm,2026,0.6767908041680295,0.529192546583851,0.9385692068429238,0.9922550575833851,0.6672118390874842
hofinet,lgbm,2027,0.6730706458381908,0.5256755772452473,0.935329186106791,0.9922514799502531,0.6642860430137406
hofinet,xgb,2024,0.6761423256701325,0.5349433962264151,0.9186106791083463,0.9923475745108831,0.6651369410257719
hofinet,xgb,2025,0.6706005520129438,0.5298541134005114,0.9131674442716433,0.9916141037897114,0.6602788655704148
hofinet,xgb,2026,0.6749928496520164,0.5338561302970894,0.9175738724727839,0.9924323094374681,0.6662640455353539
hofinet,xgb,2027,0.6771891687538396,0.532911863146151,0.928589942975635,0.9923421629158193,0.6649221053063645
