dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
hofinet,caregnn,2024,0.10134276589168584,0.0584078853614124,0.3825512056002074,0.6189952912214417,0.09283905872288009
hofinet,caregnn,2025,0.10152932647495426,0.058514554027973974,0.3832920630783266,0.6236192949950193,0.09339494849089354
hofinet,caregnn,2026,0.11267720884561094,0.06688362152710317,0.3573374854028805,0.6272049868993498,0.09098846029197248
hofinet,caregnn,2027,0.11510562610544725,0.06807710390220968,0.3722843553155933,0.6304804775980469,0.09818896013052009
hofinet,pcgnn,2024,0.2391885984086736,0.13824260677972955,0.8865698729582577,0.9538306753119457,0.36310062406978494
hofinet,pcgnn,2025,0.248846514655486,0.14584829443447037,0.8469959598592467,0.9485861102541187,0.35320726643404754
hofinet,pcgnn,2026,0.25034294841679977,0.146369869034016,0.8642792266770468,0.9542785162966425,0.3656861853221167
hofinet,pcgnn,2027,0.24265811547729044,0.1412332869374499,0.8609075716673095,0.9502274033048209,0.349976175691806
