timestamp,Model,Data,Seed,struct_feats,lr,input_dim,hidden_dim,proj_dim,gconv_nlayers,loss,final_loss,pre_1,rec_1,f1_1,pre_0,rec_0,f1_0,F1Mi,F1Ma,auroc,auprc,threshold,valid_f1_1,ari_score,sil_score
2026-05-17 15:28:39,loss_step7_amlnet_dgi_bn_JSD_s2024,amlnet/AMLNET_NODE_FEAT,2024,,-1,-1,-1,32,-1,JSD,-0.1613020151853561,0.5834298957126304,0.8329197684036393,0.6862010221465077,0.971444727169918,0.90528257146621,0.9371974087964542,0.8953409090909091,0.8116992154714809,0.9251956874183536,0.788226184167242,0.5,,0.0,0.0
2026-05-17 15:29:05,loss_step7_amlnet_dgi_bn_JSD_s2025,amlnet/AMLNET_NODE_FEAT,2025,,-1,-1,-1,32,-1,JSD,-0.1507734954357147,0.56640625,0.8423236514522822,0.6773440106773441,0.9728881278538812,0.8976958525345622,0.933780729986989,0.8901136363636364,0.8055623703321666,0.9290659120026006,0.7810102126290052,0.5,,0.0,0.0
2026-05-17 15:29:34,loss_step7_amlnet_dgi_bn_JSD_s2026,amlnet/AMLNET_NODE_FEAT,2026,,-1,-1,-1,32,-1,JSD,-0.1468895971775055,0.5683785343335257,0.8411614005123825,0.678374655647383,0.973680486769492,0.9019530737973522,0.9364452912357104,0.8938636363636364,0.8074099734415467,0.9263982025528684,0.7789815728323789,0.5,,0.0,0.0
2026-05-17 15:30:00,loss_step7_amlnet_dgi_bn_JSD_s2027,amlnet/AMLNET_NODE_FEAT,2027,,-1,-1,-1,32,-1,JSD,-0.1571177542209625,0.5560391730141458,0.8538011695906432,0.6734761120263592,0.9748635449583452,0.8926739444955939,0.931960178510127,0.8873863636363636,0.802718145268243,0.9266191257441247,0.7723268588277554,0.5,,0.0,0.0
2026-05-17 15:30:31,loss_step7_amlnet_mvgrl_bn_JSD_s2024,amlnet/AMLNET_NODE_FEAT,2024,,-1,-1,-1,32,-1,JSD,-0.1614692956209182,0.5842044134727061,0.8320926385442514,0.6864551347662914,0.9713195818027692,0.905677776314056,0.9373508759970004,0.8955681818181818,0.811903005381646,0.9251092806236632,0.7878393475019975,0.5,,0.0,0.0
2026-05-17 15:30:57,loss_step7_amlnet_mvgrl_bn_JSD_s2025,amlnet/AMLNET_NODE_FEAT,2025,,-1,-1,-1,32,-1,JSD,-0.1483564674854278,0.5663322185061316,0.8431535269709544,0.6775591863954652,0.9730231230373964,0.8975641869651086,0.9337716594753784,0.8901136363636364,0.8056654229354219,0.9293842039559768,0.7814637664244797,0.5,,0.0,0.0
2026-05-17 15:31:22,loss_step7_amlnet_mvgrl_bn_JSD_s2026,amlnet/AMLNET_NODE_FEAT,2026,,-1,-1,-1,32,-1,JSD,-0.1465985476970672,0.5668973471741637,0.8394534585824082,0.676764199655766,0.9733937163883384,0.9015598374623148,0.9361007145287512,0.8932954545454546,0.8064324570922586,0.9261361569336476,0.7788191080221661,0.5,,0.0,0.0
2026-05-17 15:31:47,loss_step7_amlnet_mvgrl_bn_JSD_s2027,amlnet/AMLNET_NODE_FEAT,2027,,-1,-1,-1,32,-1,JSD,-0.1657842844724655,0.5550732501356483,0.8546365914786967,0.6730263157894737,0.97498921949116,0.8921478363803762,0.9317307692307693,0.8870454545454546,0.8023785425101215,0.9266503318228052,0.7718268145253193,0.5,,0.0,0.0
2026-05-17 15:32:10,loss_step7_amlnet_grace_bn_InfoNCE_s2024,amlnet/AMLNET_NODE_FEAT,2024,,-1,-1,-1,32,-1,InfoNCE,7.999843597412109,0.5760555234239445,0.8238213399503722,0.6780122532334921,0.9698769622401358,0.9034382821762612,0.9354794707406904,0.8925,0.8067458619870912,0.921210623481139,0.783114991105606,0.5,,0.0,0.0
2026-05-17 15:32:34,loss_step7_amlnet_grace_bn_InfoNCE_s2025,amlnet/AMLNET_NODE_FEAT,2025,,-1,-1,-1,32,-1,InfoNCE,7.982011795043945,0.5711845102505695,0.8323651452282158,0.6774738264099966,0.9713231118682568,0.9008558262014484,0.9347633035043376,0.8914772727272727,0.8061185649571672,0.925989526850762,0.770967524409087,0.5,,0.0,0.0
2026-05-17 15:32:58,loss_step7_amlnet_grace_bn_InfoNCE_s2026,amlnet/AMLNET_NODE_FEAT,2026,,-1,-1,-1,32,-1,InfoNCE,7.967475414276123,0.5570545250140528,0.8462852263023057,0.671864406779661,0.9743626264064948,0.8967099226635208,0.933924914675768,0.89,0.8028946607277144,0.9260622782028975,0.7740358761958752,0.5,,0.0,0.0
2026-05-17 15:33:21,loss_step7_amlnet_grace_bn_InfoNCE_s2027,amlnet/AMLNET_NODE_FEAT,2027,None,-1,-1,-1,32,-1,InfoNCE,7.975940227508545,0.5475040257648953,0.8521303258145363,0.6666666666666666,0.9744846475421652,0.8891227147178745,0.9298486932599724,0.884090909090909,0.7982576799633195,0.9228619797993383,0.7708535770265629,0.5,,0.0,0.0
