timestamp,Model,Data,Seed,cen_feats,lr,input_dim,hidden_dim,gconv_nlayers,loss,pre_1,rec_1,f1_1,pre_0,rec_0,f1_0,F1Mi,F1Ma,auroc,auprc
2025-07-31 10:27:54,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1333333333333333,0.8571428571428571,0.2307692307692307,0.9973451327433628,0.9059485530546624,0.949452401010952,0.9051383399209486,0.5901108158900914,0.9611851171336702,0.4916348011988564
2025-07-31 10:51:33,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.0961538461538461,0.7894736842105263,0.1714285714285714,0.9963931469792606,0.8868378812199037,0.9384288747346072,0.8853754940711462,0.5549287230815894,0.9096477147925994,0.1814900153958241
2025-07-31 11:02:15,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.108695652173913,0.4761904761904761,0.1769911504424778,0.990622335890878,0.9340836012861736,0.9615225486139842,0.9264822134387352,0.5692568495282311,0.8013703873832491,0.1944829693207456
2025-07-31 11:04:35,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.2641509433962264,0.7,0.3835616438356165,0.995049504950495,0.9686746987951808,0.9816849816849816,0.9644268774703556,0.6826233127602991,0.9755823293172692,0.4631795362644074
2025-07-31 11:09:45,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.2,0.65,0.3058823529411764,0.9941666666666666,0.9582329317269076,0.9758691206543968,0.9533596837944665,0.6408757367977865,0.919156626506024,0.5218566380428495
2025-07-31 11:19:59,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.9870550161812298,0.9870550161812298,0.9870550161812298,0.974703557312253,0.7176654391250976,0.9291373730610424,0.4009561479773246
2025-07-31 11:22:26,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1185185185185185,0.7619047619047619,0.2051282051282051,0.995575221238938,0.9043408360128616,0.9477674810446504,0.9019762845849802,0.5764478430864277,0.9358061552595316,0.3368306560511223
2025-07-31 11:27:48,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1007194244604316,0.7368421052631579,0.1772151898734177,0.9955595026642984,0.8996789727126806,0.945193929173693,0.8972332015810277,0.5612045595235554,0.9379910450283012,0.334088056256817
2025-07-31 11:38:09,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1744186046511628,0.6521739130434783,0.2752293577981651,0.993214588634436,0.9428341384863124,0.9673688558446922,0.9375494071146244,0.6212991068214286,0.9610375971434572,0.5273699547509567
2025-07-31 11:40:28,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.0904255319148936,1.0,0.1658536585365853,1.0,0.8629807692307693,0.926451612903226,0.8648221343873518,0.5461526357199056,0.9712245475113124,0.3737434885220973
2025-07-31 11:46:04,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.0919540229885057,0.8421052631578947,0.1658031088082901,0.997250229147571,0.8731942215088283,0.9311082584510056,0.8727272727272727,0.5484556836296478,0.936597110754414,0.2387388788221625
2025-07-31 11:56:39,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.08125,0.6190476190476191,0.143646408839779,0.9927601809954752,0.8818327974276527,0.9340144742443592,0.8774703557312253,0.5388304415420692,0.8546930026029704,0.3675394736145759
2025-07-31 11:58:57,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.25,0.85,0.3863636363636363,0.9974937343358397,0.9590361445783132,0.977886977886978,0.9573122529644268,0.6821253071253071,0.9787550200803212,0.3724480555741885
2025-07-31 12:04:42,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1339285714285714,0.75,0.2272727272727273,0.9956634865568084,0.9220883534136546,0.957464553794829,0.9193675889328063,0.5923686405337781,0.9595582329317268,0.3953119590828136
2025-07-31 12:14:53,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.3695652173913043,0.5862068965517241,0.4533333333333333,0.9901558654634948,0.9765372168284788,0.9832993890020368,0.967588932806324,0.718316361167685,0.9401852471822342,0.4266415820096062
2025-07-31 12:17:31,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1,0.6666666666666666,0.1739130434782609,0.9937777777777778,0.8987138263665595,0.943858168003377,0.8948616600790514,0.5588856057408189,0.9265809217577706,0.325572604965369
2025-07-31 12:23:06,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.1014492753623188,0.7368421052631579,0.1783439490445859,0.9955634427684116,0.9004815409309791,0.945638432364096,0.8980237154150198,0.561991190704341,0.9468615358621272,0.3777596687334624
2025-07-31 12:33:41,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.2105263157894736,0.6956521739130435,0.3232323232323232,0.9941126997476872,0.9516908212560388,0.972439325380502,0.9470355731225296,0.6478358243064126,0.9653784219001612,0.5141404028316823
2025-07-31 12:35:59,GBT_w_cen,HF_FND_2024_03_SAMPLE_100K_NODE_FEAT,2025,,-1,-1,-1,-1,BarlowTwins,0.096045197740113,1.0,0.1752577319587629,1.0,0.8717948717948718,0.9315068493150686,0.8735177865612648,0.5533822906369157,0.969339177978884,0.3495930967305095
