hidden_dim,1,2,4,8,16,32
32,0.3301,0.2222,0.1209,0.2013,0.0116,0.0141
64,0.2549,0.1313,0.1351,0.0381,0.0305,0.0163
128,0.1035,0.3793,0.4235,0.1539,0.0137,0.0219
256,0.3117,0.1818,0.1923,0.0629,0.0553,0.0356
512,0.3168,0.1978,0.2244,0.0225,0.0423,0.0398
