dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
hofinet,consisgad,2024,0.23919514020643678,0.1381466513862919,0.8907181747472128,0.954811324460801,0.3552460502469795
hofinet,consisgad,2025,0.22783096731594585,0.1304364261817907,0.8993874625309527,0.953284439889478,0.3371758657598803
hofinet,consisgad,2026,0.238496638684733,0.1377361147432158,0.8884131309199429,0.9543285619741673,0.35171233156642434
hofinet,consisgad,2027,0.22886294913593594,0.1317437473258392,0.8708060161974547,0.9476868145398356,0.3493832146807986
