timestamp,Model,Data,Seed,cen_feats,lr,input_dim,hidden_dim,gconv_nlayers,loss,pre_1,rec_1,f1_1,pre_0,rec_0,f1_0,F1Mi,F1Ma,auroc,auprc,ari_score,sil_score
2025-08-24 18:09:27,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,4,64,3,BarlowTwins,0.0303030303030303,0.7692307692307693,0.0583090379008746,0.9988814317673378,0.893297765921974,0.94314381270903,0.8927622841965471,0.5007264253049524,0.9071870110549672,0.2304679249389451,-3.695492934116949e-05,-0.12084794
2025-08-24 18:15:23,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,4,128,3,BarlowTwins,0.0886699507389162,0.9473684210526316,0.1621621621621621,0.9996440014239945,0.9381891079184764,0.96794208893485,0.9382470119521912,0.5650521255485061,0.985228691508256,0.3799034753574342,-0.0002930955957856,-0.1152757182717323
2025-08-24 18:25:20,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,4,256,3,BarlowTwins,0.1134751773049645,0.8888888888888888,0.2012578616352201,0.9993033786137234,0.958249832999332,0.9783461210571184,0.957835325365206,0.5898019913461693,0.9626289616269575,0.2608579149012322,-0.0001952212960053,-0.0893920063972473
2025-08-24 18:40:59,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,4,512,3,BarlowTwins,0.0902777777777777,0.7222222222222222,0.1604938271604938,0.9982566248256624,0.9562458249833,0.9767997270556124,0.9548472775564408,0.5686467771080531,0.9269000964892748,0.3293754240113356,-0.0004487707494042,-0.1393990516662597
2025-08-24 18:47:29,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,8,64,3,BarlowTwins,0.060126582278481,0.8260869565217391,0.112094395280236,0.9985163204747776,0.9006356641017063,0.9470536499560246,0.900066401062417,0.5295740226181302,0.8733762927836851,0.3628977799356706,-0.000271904850544,-0.1310618370771408
2025-08-24 18:51:56,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,8,128,3,BarlowTwins,0.1280487804878048,0.8076923076923077,0.2210526315789473,0.998244382022472,0.9521098459477562,0.974631470689064,0.950863213811421,0.5978420511340057,0.9586532021227264,0.2833866834389967,1.4334761735653895e-05,-0.1102006807923317
2025-08-24 19:00:25,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,8,256,3,BarlowTwins,0.050531914893617,0.7307692307692307,0.0945273631840796,0.9973444613050076,0.8804420629604822,0.9352543578797582,0.8791500664010624,0.5148908605319189,0.8701633262919265,0.1557333761693132,0.0014888836447641,-0.1390240937471389
2025-08-24 19:13:40,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,8,512,3,BarlowTwins,0.0769230769230769,0.6666666666666666,0.1379310344827586,0.9978991596638656,0.9519038076152304,0.9743589743589745,0.950199203187251,0.5561450044208665,0.8969976991019076,0.2358742288073696,-0.0006178295794122,-0.1673362553119659
2025-08-24 19:17:54,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,16,64,3,BarlowTwins,0.4313725490196078,0.7333333333333333,0.54320987654321,0.9972982100641676,0.9902749832327296,0.9937741881204778,0.9877158034528551,0.7684920323318438,0.9293203666443104,0.5084054159028698,6.993959489196636e-06,-0.1350635886192321
2025-08-24 19:22:41,GBT_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,['dc'],0.005,16,128,3,BarlowTwins,0.0903954802259887,0.5333333333333333,0.1545893719806763,0.9950617283950616,0.9460093896713616,0.9699157641395908,0.9418990703851262,0.5622525680601336,0.8362228929130338,0.1818225172679153,-0.0010100821139469,-0.1078374609351158
