condition,graph,topology_repaired,diagnostic,f1_1_mean,f1_1_std,pre_1_mean,pre_1_std,rec_1_mean,rec_1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
Feature-only LR,none,no,behavioral feature separability without graph repair,0.6588074447149973,0.0018543870287018734,0.49165888589163387,0.002146877166991412,0.9981570814281252,0.0008629464708294123,0.9912021398739931,5.650963413831991e-05,0.5790306183214808,0.0025751427388136295
GBT Tx graph node,transaction,no,"same self-supervised protocol, original transaction topology",0.2648202390141649,0.011083927313908051,0.15650849725038687,0.007774244853462307,0.8613878925844912,0.005895855555690903,0.947546433947398,0.0015743859322431824,0.36823602315157045,0.003556342428974304
GBT recovered node,behavioral kNN,yes,replace topology with recovered behavioral-neighborhood graph,0.6642040915605564,0.002323005750528105,0.5014538972788165,0.002550572320120854,0.9833849276684684,0.004314541257871457,0.9888538272778565,0.001502622474245282,0.6038619478892175,0.005775550130810176
GBT Tx graph pool,transaction,no,subgraph pooling on unrepaired transaction topology,0.19740299025577487,0.0021646650546788015,0.111575137172369,0.0014540167847061462,0.8556730986516032,0.008796260696771634,0.933914861905663,0.0006463815644027307,0.2553839900931147,0.004081985514594199
GBT repaired pool,behavioral kNN,yes,subgraph pooling on repaired topology,0.6668508201709777,0.0017238226748522154,0.502494051990154,0.001897092531290233,0.9909939399257655,0.0023157308044516383,0.9907622904743401,0.00022489254166906862,0.5868751460112254,0.005719910884039067
